Name,Comment,Time,Likes,Reply Count,Supporter
TJ ESPORT,Both are best.,2023-01-10T14:35:17Z,0,0,Both
JENA BABU VLOGS,Salaman Khan is brand ❤️❤️❤️❤️❤️❤️🔥🔥🔥🔥🔥🔥,2023-01-09T18:55:10Z,0,0,Salman Khan
Muhammad Hasnain,SRK ❤️💥💥💥 HAI PATHAN,2023-01-08T06:09:39Z,1,0,Shahrukh  khan
Khenzoy Konyak,Salman G.O.A.T💪🏻,2023-01-07T06:28:48Z,1,0,Salman Khan
Malik Tanzeem,Srk best actor worldwide,2023-01-05T19:29:39Z,0,0,Shahrukh  khan
Rakib Khan,Salman bhai best actor of bollywood,2023-01-05T03:36:54Z,0,0,Salman Khan
PAWAN TOMAR,King of Bollywood is srk,2023-01-04T21:51:17Z,0,0,Shahrukh  khan
Akash Sahoo,SRK....King...,2023-01-04T05:14:30Z,0,0,Shahrukh  khan
#luv1996#,maam saudi mein hu yaha srk bh aya tha salman bh yakeen maana salman ke liye aisa sb pagal thy pucho mat unreal fan following haha belhasa dubai son salman ko bolaya tha srk ko nh jao maam aap global deversity award london salman ko mila bill kilinton ne apni security salman ko di srk ko nh,2023-01-01T02:23:58Z,0,0,Shahrukh  khan
#luv1996#,salman luv u,2023-01-01T02:21:40Z,0,0,Salman Khan
Dhiraj Narwade,Srk king of bollywood ♥️,2022-12-31T09:21:54Z,0,0,Shahrukh  khan
Bilal Haahim,Salman stardom bahoot bada hai,2022-12-30T21:45:47Z,0,0,Salman Khan
Apna Channel,Salman Bhai,2022-12-29T17:22:33Z,0,0,Salman Khan
salman khan superstar megastar 🥰,No1 superstar megastar salman khan sir no1 badshaah of Bollywood king salman khan sir 🥰🥰🥰 love you sir 🥰🥰🥰 tiger bhaijaan sultan Sallu  love you sir power of Bollywood of world king,2022-12-29T11:48:31Z,1,0,Salman Khan
asif shaikh,Ye video me zyada logo ne salman ko kaha h no1🤩,2022-12-28T06:43:36Z,0,0,comment
Akshay Kamble,Sallu bhaijaan ka stardom bohot bada hai❤,2022-12-27T20:35:27Z,0,0,Salman Khan
priiiiiii...,Srk❤️🎯🌌,2022-12-26T23:49:42Z,0,0,Shahrukh  khan
Shaany Khan,"Srk never end in Bollywood jungle ka Badshah ek hi hota hey one and only king Khan boom entry in Bollywood Pathan, dunky and Jawan",2022-12-25T00:36:44Z,0,0,Shahrukh  khan
Shaikh Rahman,Srk greatest,2022-12-23T20:37:59Z,0,0,Shahrukh  khan
શિવાય,SRK,2022-12-23T11:46:49Z,1,0,Shahrukh  khan
Ganesh Marandi,Salman Khan Bhai jaan Bigg star,2022-12-20T17:56:01Z,0,0,Salman Khan
Vk,Bhai india se bahar puch..pta chal jayega papa kaun hai .😂,2022-12-15T19:14:52Z,0,1,Shahrukh  khan
1 Momin,Salman National hai.Srk International is se samjh lo kis ka stardom bada hai.,2022-12-15T10:17:01Z,0,0,Shahrukh  khan
Ranjeet Chauhan,Srk King ❤️,2022-12-14T04:05:18Z,1,0,Shahrukh  khan
Ashish Pawar,King khan,2022-12-13T18:28:16Z,0,0,Shahrukh  khan
Pradeep پردیپ live observer,The most valuable and inspiring personality is Salman khan 😍😍🥳 when you want to get the true lessons of life in absolute free,2022-12-12T16:19:02Z,6,0,Salman Khan
bolly_biography,Salman khan always 🔥,2022-12-12T13:38:04Z,1,0,Salman Khan
Being successful,Salman khan🔥🔥🔥🔥🔥,2022-12-09T19:33:38Z,1,0,Salman Khan
Black Hunter,The last super star 🌟 yarrrr SRK India 🇮🇳🇮🇳,2022-12-06T12:02:40Z,1,0,Shahrukh  khan
akshat,Srk is king,2022-12-02T14:30:08Z,0,0,Shahrukh  khan
Bishal,King of world cinema,2022-12-02T06:10:05Z,1,0,Shahrukh  khan
Ayush Ranjan,Srk ❤️❤️❤️,2022-11-27T08:09:47Z,1,0,Shahrukh  khan
shoaib khan,Salman khan is the biggest,2022-11-26T15:00:58Z,1,0,Salman Khan
sajidur Rahman,Salman khan.. ❤️,2022-11-23T20:26:43Z,0,0,Salman Khan
Sahil Ashraf,Love u srk❤️,2022-11-23T14:57:17Z,1,0,Salman Khan
bairari,Srk,2022-11-23T10:33:51Z,2,0,Shahrukh  khan
Abhishek,World knows srk<br>Locals know selmoin bhoi 😂😂,2022-11-23T05:29:10Z,0,0,Shahrukh  khan
Abhishek,Other countries know srk DDLJ<br>Salman ko bahar koi nhi janta 😂😂,2022-11-23T05:27:40Z,0,0,Shahrukh  khan
Abhishek,Srk fans like <br>Salman khan comments,2022-11-23T05:25:29Z,0,0,Shahrukh  khan
Abhishek,Srk global superstar 🤫<br>Salman local hero 😂😂,2022-11-23T05:24:20Z,0,0,Comment
Vijay Sasane,La**a mera Salman Khan. Duniya main Srk ke liye pagal hain log,2022-11-22T14:35:00Z,0,0,Shahrukh  khan
Odda hi,"<a href=""https://www.youtube.com/watch?v=EtuJyE7HauY&amp;t=1m44s"">1:44</a> aunty and every wanna be cool people just say Srk is actor and Salman is not actor just a superstar",2022-11-21T02:41:20Z,0,0,Shahrukh  khan
Odda hi,"Sahi bola madam <a href=""https://www.youtube.com/watch?v=EtuJyE7HauY&amp;t=0m41s"">0:41</a> sweet lagta hai Apna lagta hai Salman 😂😂❤️‍🔥",2022-11-21T02:39:42Z,1,0,Salman Khan
SOUMYA SOUMYA,SRK 🔥🔥🔥🔥🔥🔥🔥,2022-11-20T07:09:28Z,0,0,Shahrukh  khan
Akash Kumar,Salman Khan,2022-11-20T03:37:09Z,0,0,Salman Khan
being Salman khan fan awais,Bhai,2022-11-18T13:34:20Z,1,0,Salman Khan
Arriyan Raju,Srk king of world,2022-11-15T08:06:59Z,0,0,Shahrukh  khan
HK status creation,"<a href=""https://www.youtube.com/watch?v=EtuJyE7HauY&amp;t=4m31s"">4:31</a> ji mujhe lagta he shahrukh khan ka bahut bada he ...bhai santh me stardom bhi bolta deta 😂",2022-11-14T15:12:22Z,0,0,Comment
Afroz Khan,Srk Ko bol rahe hai  International Famous Hai Mera kaddu famous hai bssk overseas mein acchi movie chalti hai na ki hakle ki sakal,2022-11-14T04:57:46Z,0,0,Salman Khan
Afroz Khan,Salman Khan Ke Jitne fan hai utne kisi actor ka fan nhi hai,2022-11-14T04:55:59Z,0,0,Salman Khan
Afroz Khan,Salman Khan All time fevorite Actor For Me 💕 <br>Love you bhaijaan,2022-11-14T04:54:27Z,0,0,Salman Khan
Proud gurkha,Salman is local hero 🤣,2022-11-12T19:13:55Z,0,1,Salman Khan
Proud gurkha,Srk is a global superstar love from Nepal❤️,2022-11-12T19:13:39Z,0,0,Shahrukh  khan
Gabru Singh,Salman khan box office king Srk Acting king,2022-11-12T07:35:31Z,0,0,Both
Dilshad Khan,Are chaman cutiya bhai to bahi hai salman bahi hai❤️❤️❤️❤️❤️❤️I love you salman khan,2022-11-12T07:04:30Z,0,0,Salman Khan
Mohammad Kaif,Salman Khan ka stadam bada hai,2022-11-11T15:44:20Z,0,0,Salman Khan
Reshav Vo,King is Shahrukh... baadshah 💖💖😘😚,2022-11-09T20:12:52Z,0,0,Shahrukh  khan
Sattar Buyan,Only Salman  khan,2022-11-09T17:19:09Z,0,0,Salman Khan
reshma sultana,Salmam Khan always❤❤🔥,2022-11-09T15:11:56Z,0,0,Salman Khan
Shabaj Ahmad,Salman sir ko koi replace nahi kar sakta duniya me sabse jada famous hero salman sir hai shahrukh nahi,2022-11-09T09:21:43Z,0,0,Salman Khan
MASTERGAME 🇮🇳,Salman bhai dil wale ❤ or shahrukh khan chor banda,2022-11-08T12:56:20Z,0,1,Both
being_arsh,Shahrukh khan Badshah 🥰,2022-11-07T14:34:22Z,0,0,Shahrukh  khan
being_arsh,Srk is srk 🙌🏿🙌🏿🙌🏿,2022-11-07T14:33:29Z,1,0,Shahrukh  khan
Suleman Raza,Salman khan ka sdadam bra hai,2022-11-07T13:56:45Z,0,0,Comment
The Rajasthani nation,Bhai Jaan Salman Khan is the best👍💯 ❤,2022-11-07T13:39:18Z,1,0,Salman Khan
mr. gaming 2m,Srk sir se bada Koi nahi ❤️,2022-11-07T02:02:57Z,0,0,Shahrukh  khan
Call__me._. AB,Salman sir megastar of bollywood🔥 love from pakistan❤,2022-11-06T18:21:05Z,0,0,Salman Khan
Memer boy,srk🔥🔥🔥,2022-11-05T20:32:17Z,0,0,Shahrukh  khan
Ali Khan,Only srk KING❤️👑,2022-11-05T19:00:00Z,1,0,Shahrukh  khan
LIFE IS BEAUTIFUL,Only srk,2022-11-05T16:04:46Z,0,0,Shahrukh  khan
Karan Wankhede,Salman Bhai,2022-11-05T07:36:12Z,0,0,Salman Khan
science wallah,only bhaijjan,2022-11-04T12:28:07Z,1,0,Salman Khan
Azizul Khan at gym,Bhaiya Salman Khan is the best,2022-11-04T10:26:17Z,0,0,Salman Khan
Shrenik Ranka,Saale compare bhi king ki kisse krr rhe haii 💩 Dont compare our King SRK with anyone vo poora Samundra hai mere bhai baki sab uske samne ek bund ke barabar ❤️,2022-11-04T08:16:52Z,0,0,Shahrukh  khan
Niyaz Khan,Salman khan,2022-11-03T09:04:44Z,0,0,Salman Khan
Samim Raj,Salman khan . I&#39;m Big Fan,2022-11-03T08:29:05Z,0,0,Salman Khan
Ranveer singh,yr mujhe to j nhi pta k sharukh khan ki itni popularity kio hain koi ek adha karan to ho na koi professional dancer hain na koi action hero hain acting bhi average c hoti pr log pta nhi kio unke piche itne pagal hainn agr ranveerr singh ki itni stardom ho to samajh main ata bhi hainn   kiki unke kaam main wo dumm hota hain k logg unke fan bne itne bde bde klakar huye is industry main naseeruddin shah om puri amrish puri raghuveer yadav danny denzongpa agr srk k tym ki batt kre to inke tym pe bhi manoj bajpayee irrfan khan  paresh rawal anupam kher k k menon nawazuddin sidiqui boman irani nana patekar mujhe koi j btak k inme kon c kami hain kya j deserving nhi the,2022-11-03T04:47:54Z,0,0,Comment
Dilshad Banu,Salman khan mere jan shan hai mashallah allha salman bhi ko hume sha khus rakhi ameen🤲💗💓,2022-11-02T17:00:29Z,0,0,Salman Khan
MR Xxx,Only salman khan,2022-11-01T12:48:55Z,0,0,Salman Khan
Md Shumon,Srk best actor,2022-11-01T11:36:20Z,0,0,Shahrukh  khan
Official Raj9064,World biggest international actor srk🤞💯,2022-10-29T17:02:49Z,0,0,Shahrukh  khan
Amit Kumar,Only SRK,2022-10-28T08:45:18Z,1,0,Shahrukh  khan
rashmika mandanna,Srk bolti public,2022-10-27T10:45:08Z,0,0,Shahrukh  khan
shukla shukla,Offcourse Salman Khan. 🌟 Star Hai... 👍,2022-10-24T17:57:59Z,0,0,Salman Khan
Yaseen Issa,Salman Khan all the way for me 🙏🙏🙏💖💖💖. Salman Khan is a much better actor and better looking than Shahrukh Khan 🔥🔥🔥😘😘😘.,2022-10-24T12:35:57Z,0,0,Salman Khan
Nistha Sharma,My favorite actor Salman Khan,2022-10-24T10:58:48Z,0,0,Salman Khan
One Plus,Shahrukh Khan sirf star nahi zindgi hai meri,2022-10-24T06:32:21Z,1,0,Shahrukh  khan
One Plus,India me stardom salman khan hai lekin aap baat kre globally stardom ki to shahrukh ke takkar ka koi nahi,2022-10-24T06:30:38Z,1,0,Shahrukh  khan
Big Wolf,SRK,2022-10-23T15:08:33Z,0,0,Shahrukh  khan
Mr. Official05,One and only Sallu bhai✋💓💓💓💓,2022-10-22T19:38:31Z,0,0,Salman Khan
Shahil Sawant,Salman Khan is best my favourite actor,2022-10-22T12:37:35Z,0,0,Salman Khan
Loo ol Njki,Movie collection say who have more stardom🤣<br>Obviously Salman Khan 🗿🖤,2022-10-21T18:21:46Z,0,0,Salman Khan
Rohitsk,Janu ka Jaan bhai jaan Salman Khan,2022-10-21T14:26:14Z,0,0,Salman Khan
Rohitsk,Salman bhai jaan,2022-10-21T14:25:30Z,0,0,Salman Khan
Filmy Wap,Kuch bhi kehlo Salman is Salman bhai ki Baat hi alag hai🔥🔥,2022-10-20T18:41:47Z,1,0,Salman Khan
Ghanshyam Malivad,Bhai apne to ek hi hero pasand hai.indian biggest meghastar of Salman bhai ❤️💪💯.<br>I love you Salman bhai ❤️,2022-10-20T06:13:00Z,0,0,Salman Khan
pithna legend,Srk ko kehdo ke gribo ki madad kare rumanse me kuch nahi hai bhai rumace to imran hasmi bhi ke lete hai would of the most sicound riches man Bane se kuch nahi hota Dil ho to Salman bhai jaisa,2022-10-19T14:16:13Z,1,0,Shahrukh  khan
pithna legend,Bolybood ka dabang Khan one ef the most bhai  Salman Khan💪,2022-10-19T14:13:10Z,1,0,Salman Khan
Katen Palling,King is king skr,2022-10-19T11:23:15Z,0,0,Shahrukh  khan
Md Moazzam khan,Shahruk best actor,2022-10-16T17:22:36Z,1,0,Shahrukh  khan
SHUMAILA,Srk ka stadaam,2022-10-14T17:40:42Z,0,0,Shahrukh  khan
TUFAN GAMING FF,Shahrukh Khan 🥰🥰,2022-10-13T04:34:00Z,0,0,Shahrukh  khan
Afzal,ABE CHUTIYA 😞 YE TO ZAAHIR HAI KI SALMAN KHAN KA STARDUM JYADA BHARI HAI 💙,2022-10-12T17:22:42Z,0,0,Shahrukh  khan
OMG 😱 AWEZ,STORDOM OF SALMAN KHAN ❤,2022-10-12T10:17:32Z,1,0,Salman Khan
adil taimoor,SHAH RUKH KHAN is the most Charitable Actor he doesn&#39;t show off... He&#39;s the only Indian to achieve the biggest charity award,2022-10-11T15:46:35Z,0,0,Shahrukh  khan
adil taimoor,Only SRK rules 🔥❤️,2022-10-11T15:44:12Z,0,0,Shahrukh  khan
বাংলা টিবি,Agar international hero ki bat Karo to sharukh khan he number 1 kiuki Menevhi sharukh khan ki fan or me India se nehi Bangladesh se Hu....agar sharukh cricket or business pe Jada time na dekar film par time Diya HOTA to Salman kavhi Bhai na banta....sabka Dil par sharuk khan thi rahega,2022-10-11T14:50:27Z,0,0,Shahrukh  khan
The Boy Zian,First ke logo ki wajah se talented logo ko kabhi chance nahi milta☹️,2022-10-10T06:22:50Z,1,0,Comment
Dawood Bagwan,Salman Khan best hai,2022-10-09T13:33:34Z,1,0,Salman Khan
sk.kaifu.x,Srk is srk🔥🤞,2022-10-08T09:29:45Z,1,0,Shahrukh  khan
Yakub Ansari,Salman khan or sharik khan bhai ha dono acha ha,2022-10-07T10:25:47Z,1,0,Both
Danish Zehen,Salman Khan is the bast Love you 😘🥰,2022-10-06T14:18:05Z,2,0,Salman Khan
jai shri krishna,Srk❤️,2022-10-05T13:06:59Z,0,0,Shahrukh  khan
Sagr Sagar,Only Salman bhai bollywood ka baap,2022-10-04T10:14:16Z,1,0,Salman Khan
Darshan Kelsi,One and only DBOSS and Thalapathy vijay....❤️,2022-10-03T09:01:12Z,1,0,Comment
naveen navariya,King khan srk&#39;s,2022-10-03T03:53:29Z,1,0,Shahrukh  khan
Siddharth Sarmah,One nd only SALMAN BHAI,2022-10-02T12:10:56Z,1,0,Salman Khan
Arish Shaikh,I am biggest fan of salman 😍😍😍❤❤i love ❤❤❤❤ salman,2022-09-29T17:47:31Z,1,0,Salman Khan
Rakesh Chahal,Srk,2022-09-29T05:03:25Z,1,0,Sharukh Khan
Suliman Khan,only srk,2022-09-27T16:38:25Z,0,0,Sharukh Khan
Rosan Shaikh,Only Salman Khan 💯😘,2022-09-25T18:34:30Z,1,0,Salman Khan
Uzair Baloch,Salman khan,2022-09-24T04:44:29Z,1,0,Salman Khan
Sahil Padhan,Bollywood ka sultan Salman Khan 🔥,2022-09-23T16:08:47Z,1,0,Salman Khan
Sankar Biswas,Srk is world biggest movie Star,2022-09-23T06:33:20Z,0,0,Sharukh Khan
Cricketer Honey Singh,Only Bhaijaan 😎❤,2022-09-22T17:17:37Z,1,0,Salman Khan
Sagar Kalal,Salman Khan katu batihni,2022-09-21T08:42:43Z,2,0,Comment
FUN2US  STUDIO,Salman is baap,2022-09-20T16:41:00Z,1,0,Salman Khan
Dhiraj Narwade,The king of one only srk,2022-09-18T02:45:19Z,1,0,Sharukh Khan
"Yooabs Nrn,njr",SRK is most popular actor King of Bollywood,2022-09-17T12:22:41Z,0,0,Sharukh Khan
Sunil Creation 5546,Megastar Salman khan I love you ❤️❤️,2022-09-17T10:37:43Z,0,0,Salman Khan
armam Khan,Salman Khan,2022-09-17T05:44:00Z,0,0,Salman Khan
Sohel Tanvir,Salman Khan Bast love you,2022-09-16T20:25:40Z,0,0,Salman Khan
Tiger you 1234,King 👑 sallu bhai,2022-09-16T06:18:06Z,0,0,Salman Khan
Digamber Shinde,Srk,2022-09-15T12:15:37Z,0,0,Sharukh Khan
Sanjeev karki,Srk ko globally log pehechante hai,2022-09-15T04:03:32Z,0,0,Shahrukh Khan
Kalpesh Patel,Salman bhai hi hoga na,2022-09-12T20:50:38Z,0,0,Sharukh Khan
Ennu Bhai,Srk ❤🌹🌹,2022-09-09T06:37:52Z,0,0,Salman Khan
Adilabad Comedy vlogs,Salman khan bhai🥰🥰,2022-09-07T07:15:24Z,0,0,Salman Khan
Hasan abbas zaidi,Salman khan all time blockbuster hero,2022-09-06T16:51:05Z,0,0,Salman Khan
Rashid Khan,"No one can beat stardom of salman khan in India, and internationally Shahrukh khan",2022-09-06T03:37:21Z,0,0,Comment
NAMAN KHANDELWAL,Salman Khan super ❤️❤️,2022-09-06T03:08:49Z,0,0,Salman Khan
Waris Zulfiqar,Stardom ka king 👑👑 srk hai bus,2022-09-05T22:24:07Z,0,0,Sharukh Khan
Saharukh Khan,Shahrukh Khan is best actor of Bollywood 👍 is King Khan of Bollywood 👑👑👑🔥🔥🔥👍👍👈,2022-09-05T16:23:41Z,1,0,Sharukh Khan
Nahid Rahat,Srk,2022-09-03T18:01:21Z,0,0,Sharukh Khan
Shoaib Alvi,Always bhaijaaan the baap of box office,2022-09-01T07:41:48Z,0,0,Salman Khan
Bitem Taloh,No offence but Bhai jasn is at another level,2022-08-31T15:00:25Z,0,0,Salman Khan
strong bonding,Salman khan you are doing good job keep it up,2022-08-31T13:16:15Z,0,0,Salman Khan
Mr. Raj,SRK is the real king👑,2022-08-31T05:23:51Z,1,0, Shahrukh Khan
Mureed,Chakde bazzigar ddlj Salman ni srk ko khairat may day dein,2022-08-28T13:52:28Z,0,0,Salman Khan
Aasif Nariya,Salman Bhai jaan best,2022-08-28T07:17:58Z,0,0,Salman Khan
IMRAN 2.2,2 no sabse achhe hai,2022-08-27T11:03:48Z,0,0,Both
Shubhu raj Student,Bhai ❤️,2022-08-27T09:48:03Z,1,0,Salman Khan
Hekmtullah Hasand,"SRK<a href=""about:invalid#zCSafez""></a>",2022-08-27T00:00:55Z,0,0,Sharukh Khan
Amjad Khan,Shahrukhkhan star dam no.1,2022-08-26T19:30:23Z,1,0,Sharukh Khan
Arbaz Khan,One and only salman khan stardom ❤❤,2022-08-24T22:05:23Z,0,0,Salman Khan
Waris Zulfiqar,Srk ha king,2022-08-24T20:30:51Z,0,0,Sharukh Khan
Khizar Gujjar,SALMAN VS SRK BOX OFFICE And ALL OVER SECIAL MEDIA<br><br>Salman 100CR 15 Films / Hakloda 9 <br><br>Salman 200CR 6 Films / Hakloda 2<br><br>Salman 300CR 3 Films / Hakloda &quot;0&quot;🍌<br><br>Salman Blockbusters 15 / Hakloda 9<br><br>Salman ATB &quot;3&quot; Films With OUT KKHH / Hakloda 2<br><br>Salman ATDG 2 / Hakloda &quot;0&quot;<br><br>Salman HGOTY 10 / Hakloda 6<br><br>Salman 1CR Footfalls Films 35 / Hakla SRK 31<br><br>Salman 2CR FF &quot;12&quot; Films / Hakla SRK 9<br><br>Salman 3CR &quot;5&quot; Films / Hakloda SRK &quot;3&quot;<br><br>Salman Higgest Grosser Bajrangi Bhaijaan 969CR WW Gross / SRK Higgest Grosser Chennai Express 422CR WW Gross Only <br><br>Salman Higgest Footfalls 7.4CR HAHK Film / Hakloda SRK Higgest Footfalls Film DDLJ 5.7CR <br><br>Salman 5CR FF Films &quot;2&quot; / Hakloda 5CR Footfalls Films &quot;1&quot;<br><br>Salman World Wide 300CR Films &quot;8&quot;<br>hakloda WW 300CR Films &quot;3&quot; Only😅 <br><br>Salman WW 400CR Films &quot;4&quot;<br>Hakla Gayrukh 400CR Films &quot;1&quot;😓<br><br>Salman WW 500CR Films &quot;3&quot;<br>Hakloda Gayrukh  WW 500CR Films &quot;0&quot;🍌<br><br>Salman 600CR WW Films &quot;2&quot; Sultan And Bajrangi Bhaijaan<br>Hakloda 600CR Films WW &quot;0&quot;🍌<br><br>SALMAN WW 700CR Film &quot;1&quot;<br>PRK WW 700CR Film &quot;0&quot;🍌<br><br>Salman 800CR WW &quot;1&quot;<br>Hakloda &quot;0&quot;<br><br>Salman 900CR WW &quot;1&quot;<br>Hakloda 900CR  Itni Aoukat Nahi Hai🍌🍌🍌😅👌<br><br>SALMAN Khan Social Media Twitter-Instegram And Facebook Followers More Than SRK All Social Media Facebook-Twitter-Instegram Followers <br><br>Salman Most 100Million 200 Million 300-400-500-600-700-800-900Million Views In YouTube Than SRK And Salman Most Record In YouTube Videos Than SRK Of All Time <br><br><br>But Still SRK Bollywood King And Bigger Star Than MegaStar Salman Khan😅👌🤣<br><br>😎🔥🔥,2022-08-22T21:34:32Z,1,0,Comment
Pramod Kumar Pani,Always Srk ❤️,2022-08-22T14:05:22Z,0,0,Sharukh Khan
sad stutus k videos,Dono best hai,2022-08-22T05:42:10Z,0,0,Both
Sahil Ashraf,Love you srk,2022-08-21T09:37:41Z,0,0,Sharukh Khan
Mohhamd Shaikh,Bhai salman salman hai bo real hero h dikhaba nhi h usme i love sallu ❤❤❤❤,2022-08-20T17:58:48Z,0,0,Salman Khan
Vinod Kumar,Srk is best,2022-08-20T17:24:43Z,0,0,Sharukh Khan
Azam Khan,Puch kya hai obviously Salman Khan aap khud dekho khud socho Salma ki baat hi alag hai unka alag hi jalwa hai bhai,2022-08-20T14:44:47Z,0,0,Salman Khan
Azizul Khan at gym,Bhaijaan Salman Khan dabang,2022-08-20T11:52:48Z,0,0,Salman Khan
MADHABI Das,Only one Salman Khan or koyi vi nhi,2022-08-18T10:07:38Z,0,0,Salman Khan
Zumrat Khan,Salman Khan best,2022-08-17T06:37:47Z,0,0,Salman Khan
Zumrat Khan,Salman Khan,2022-08-17T06:37:27Z,0,0,Salman Khan
ZevilEdits,Srk king,2022-08-16T12:17:26Z,0,0,Salman Khan
Aryan Nikhare,Always be an SRK FAN,2022-08-16T07:08:03Z,0,0,Sharukh Khan
Gousabi Jahagiradar,Salman Khan best 😍🥰,2022-08-15T12:44:51Z,0,0,Sharukh Khan
REFRAMING,Charity sab s jyada srk ka he yar worldwide reserch kro 🥺,2022-08-13T10:30:54Z,0,0,Salman Khan
REFRAMING,Salman genuine h 🤣🤣🤣🤣🤣,2022-08-13T10:30:26Z,0,0,Salman Khan
REFRAMING,"Salman khan radhe, remake sab ko pasand ayi lekin srk k original nahi",2022-08-13T10:30:10Z,0,0,Sharukh Khan
REFRAMING,"Salman ne  srk ne jyada kuch kiya h still public ❤️ salman more jab ki ark ne charity , acting,sab dharm ki respect still public dont know anything",2022-08-13T10:29:38Z,0,0,Both
Satwashil jakhamale,Jo logo ki madat karta hai wahi real star salman hai,2022-08-13T03:29:02Z,0,0,Salman Khan
Satwashil jakhamale,Ye madam ko bolo ki india se bahar shahrukh se jada salman ke fan hai,2022-08-13T03:26:36Z,0,0,Salman Khan
Ankita Mahi,Salman Khan 💥💥,2022-08-11T06:50:12Z,0,0,Salman Khan
MOHAMMAD MOIN SHARIEF,ONLY SRK KING KHAN,2022-08-10T18:17:56Z,0,0,Sharukh Khan
Imran Khan,Ek lady boli Shahrukh bhi sahi hai aunty srk ki takkar ka bollywood me koi nhi hai jis din Shahrukh khan ko jaan liya us din se apka ideal ban jayega,2022-08-09T18:38:04Z,1,0,Sharukh Khan
Nandini Bibhar,Salman bhai,2022-08-07T08:22:57Z,0,0,Salman Khan
Khuram Sial,Only srk,2022-08-05T20:40:44Z,0,0,Sharukh Khan
Suleman Raza,Salman Khan Bhut bura star hai,2022-08-04T08:51:13Z,0,0,Sharukh Khan
Sagar Ali,Salman vai,2022-08-04T08:01:34Z,0,0,Salman Khan
Sachin Gadwal,Srk,2022-08-03T16:19:54Z,0,0,Sharukh Khan
Mudasser Ansare,Salman bhai,2022-08-03T06:32:11Z,0,0,Salman Khan
ammu,Monuj kumar nahi yaar..dilip kumar,2022-08-02T19:11:22Z,0,0,Comment
Beowulf Thakur,Selfmade actor srk world king,2022-08-01T16:54:14Z,1,0,Sharukh Khan
Nassir Farooq,Bollywood ke sultan<br>Sabb ke bhaijaan<br>Love you salmaan,2022-08-01T15:19:17Z,0,0,Salman Khan
Mohd Zeeshan,Salman sir is a best actor bhaijan,2022-08-01T12:59:14Z,0,0,Salman Khan
Mehedi hasan Shanto,Only srk..,2022-08-01T11:11:40Z,0,0,Sharukh Khan
Jazir S. ,"No doubt Salman Khan.  He is the gem. He has positively impacted the society in many ways; be it entertainment, fitness, or generous charity. SRK may be good in emotional acting but emotional acting alone does not make an actor a megastar otherwise all Hollywood top actors would be doing KKKKKKKK....Kiran. Action, romance, comedy, tragedy, emotions, good looks and physique is all in one only altruistic Salman Khan.",2022-08-01T03:20:17Z,1,0,Both
pk khan,Salman khan bhaijaan Bollywood king star SRK.king....2,2022-07-31T05:30:03Z,0,0,Both
Deep Singh,SRK Best ❤❤❤,2022-07-29T11:40:15Z,0,0,Sharukh Khan
Junaid world,Srk love you so much 💖😘,2022-07-28T13:22:02Z,0,0,Sharukh Khan
Akash Verma,Agar charity ki baat kro toh srk world mein no 1 actor hai charitable mein bss king show off nhi krta,2022-07-26T15:48:14Z,0,0,Sharukh Khan
